vin,marca,modelo,año,país_origen,color,fecha_ultimo_dano,tipo_incidente,coste_estimado,gravedad,partes_afectadas,lectura_km,fecha_ultimo_itv,resultado_itv,observaciones
RM370W9T9BTZGDNFB,BMW,Modelo3,2017,Alemania,Blanco,2017-08-09,Daño menor,10519.33,Grave,Laterales,17204,2022-09-18,Favorable,Frenos OK
VHTMBM1FPHWGVRBHL,Hyundai,Modelo1,2024,Alemania,Negro,2016-03-10,,1186.76,Grave,Puertas,186696,2023-12-21,Desfavorable,Fugas leves de aceite
552VPB1DW3HGVZEG2,Audi,Modelo3,2014,Japón,Azul,2021-04-30,Daño menor,5849.59,Grave,Puertas,116524,2020-09-23,Favorable,Frenos OK
8S26ZKLDGS693JY5Z,Nissan,Modelo2,2013,España,Negro,2021-05-18,Accidente grave,13814.13,Media,Capó,47010,2021-02-18,Desfavorable,Luces dañadas
VUY9P1GWYBDMDR80T,Peugeot,Modelo3,2011,Alemania,Gris,2020-12-08,Daño por granizo,10699.89,,Laterales,144483,2021-09-21,Favorable,Fugas leves de aceite
WAAB4AXU8UT4A5TRH,BMW,Modelo3,2014,Japón,Gris,2024-08-23,,1871.11,Leve,Capó,169585,2023-10-07,Desfavorable,Sin defectos
9H7U9Y1G7ASC48FBE,Toyota,Modelo1,2021,Alemania,Azul,,,,,,189813,2022-05-19,Desfavorable,Fugas leves de aceite
JVMFY0FS1L4GNDEBY,Toyota,Modelo2,2024,Francia,Blanco,,,,,,72959,2024-04-14,Favorable,Luces dañadas
L7ZDKVUY8V038RHZK,Fiat,Modelo1,2019,España,Gris,2023-10-22,Accidente grave,9713.09,Grave,Puertas,10674,2024-03-25,Desfavorable,Frenos OK
YSDEZYUE6X7YP443G,BMW,Modelo3,2016,Italia,Negro,2017-08-02,,12035.0,Leve,Motor,111602,2022-02-10,Desfavorable,Frenos OK
LMZ9TFGXUY0VDM1DM,Mazda,Modelo3,2014,Italia,Negro,,,,,,52707,2023-06-22,Desfavorable,Fugas leves de aceite
BH5FE7CXWVBLHSYAA,Volkswagen,Modelo2,2020,Alemania,Azul,,,,,,66412,2022-02-19,Favorable,Sin defectos
0XUWE3N4RT9B6WVMP,Volkswagen,Modelo2,2011,Francia,Blanco,2024-08-11,Impacto frontal,9783.98,Media,Capó,102903,2022-08-24,Desfavorable,Sin defectos
E61M7KED5BA2ZR3MC,Mazda,Modelo3,2022,Italia,Blanco,,,,,,88223,2021-09-17,Favorable,Fugas leves de aceite
F7PD65BX1KRCH1L4Y,Renault,Modelo2,2022,Italia,Negro,2021-12-24,Daño menor,13108.76,,,148643,2020-10-31,Desfavorable,Fugas leves de aceite
2EB12HSL2N5LR49YB,Seat,Modelo2,2017,Francia,Gris,2021-10-26,Daño por granizo,6135.44,Leve,Parachoques,134246,2023-09-30,Favorable,Sin defectos
RP1CRMP2T2WCSLN2D,Mazda,Modelo3,2010,Alemania,Gris,2024-06-14,,13143.32,Grave,Capó,75351,2020-12-25,Favorable,Sin defectos
X0NAKYTT3SK35FF1S,Toyota,Modelo1,2018,Francia,Blanco,,,,,,146327,2024-11-16,Desfavorable,Sin defectos
7LM34C2K53PXY175N,BMW,Modelo1,2023,Francia,Rojo,2022-10-01,,5534.82,Grave,Laterales,158586,2024-07-17,Desfavorable,Sin defectos
U7874B3CHRD1ETRJ7,BMW,Modelo2,2017,Alemania,Negro,2024-08-20,Accidente grave,10510.72,Media,,151991,2023-10-11,Favorable,Luces dañadas
G4FFEYUAX7EZJ9CB6,Volkswagen,Modelo2,2020,España,Azul,2015-04-03,Daño menor,9372.48,,,172104,2024-04-12,Desfavorable,Frenos OK
RBWKLZ9RBBUDNCPTT,Toyota,Modelo1,2023,Italia,Negro,2023-06-30,Accidente grave,14078.42,Media,Capó,25764,2021-04-14,Favorable,Frenos OK
X1YNH285EPYFMCVWD,BMW,Modelo1,2023,Francia,Azul,,,,,,71388,2024-04-10,Desfavorable,Frenos OK
RPDZD3TP7MCPYWDAZ,Citroen,Modelo3,2016,Italia,Blanco,,,,,,195951,2021-12-13,Desfavorable,Sin defectos
0NEP8F9P90TR0P0CN,Audi,Modelo1,2019,Alemania,Negro,2020-02-08,Daño por granizo,6980.68,Grave,Laterales,164717,2021-03-21,Desfavorable,Fugas leves de aceite
GEYNPGRJJFZ2Y0N6R,Fiat,Modelo1,2020,Francia,Blanco,,,,,,161600,2024-10-28,Favorable,Sin defectos
F5WXGXRVT3SD6P9SZ,Ford,Modelo2,2015,Italia,Negro,2023-03-03,,3090.61,Media,Motor,129384,2020-03-03,Favorable,Frenos OK
K41HGKJCNHV18SAN8,Honda,Modelo2,2021,Alemania,Gris,2019-05-31,Daño menor,3174.88,Media,Puertas,57653,2021-06-06,Favorable,Fugas leves de aceite
C22PU6MVC2UJMG85E,Renault,Modelo3,2014,Japón,Negro,2022-03-30,,6985.09,Leve,Laterales,163481,2022-03-02,Favorable,Sin defectos
ZU74RK18WVY77VU5G,Volkswagen,Modelo2,2012,Francia,Blanco,2022-08-28,,6878.84,Leve,,128794,2023-08-20,Desfavorable,Luces dañadas
UC2LPTMA912R38VM1,Mazda,Modelo3,2021,Francia,Negro,2019-06-27,,6002.43,Media,Parachoques,187314,2021-02-23,Desfavorable,Frenos OK
CJH4ZS6J0FDP91GBM,Renault,Modelo2,2014,España,Azul,2024-10-02,Accidente grave,6627.22,Media,Capó,88235,2023-06-10,Favorable,Fugas leves de aceite
G50BWEJXTLNANFAFU,Honda,Modelo1,2024,Italia,Rojo,2017-11-05,Accidente grave,12714.87,Grave,,121339,2023-12-12,Favorable,Fugas leves de aceite
R42L0W7KPJ1GA10RU,Volkswagen,Modelo3,2017,Italia,Rojo,,,,,,80096,2021-04-16,Favorable,Fugas leves de aceite
ENYV6W5UWXNA99KVK,Citroen,Modelo1,2016,Japón,Rojo,2020-09-18,Daño menor,13044.02,Media,,29362,2022-06-03,Desfavorable,Fugas leves de aceite
326EAUJS3CH2UPSE4,Peugeot,Modelo3,2010,Japón,Negro,2023-03-22,,12011.54,,,117470,2024-05-02,Desfavorable,Fugas leves de aceite
MCPMXY920RPFED5XH,Mazda,Modelo2,2012,Japón,Gris,,,,,,198422,2020-12-30,Favorable,Frenos OK
AFNFNCU1Z3Y654X11,Citroen,Modelo2,2019,Francia,Negro,,,,,,93975,2024-04-25,Desfavorable,Sin defectos
JRX3NYA2B0RKW1LPV,Mazda,Modelo3,2021,Japón,Rojo,,,,,,138629,2023-03-20,Favorable,Fugas leves de aceite
K8THB24PG9YY7U963,Kia,Modelo3,2019,España,Negro,2018-10-20,Accidente grave,13201.03,Leve,,118235,2022-05-14,Favorable,Fugas leves de aceite
2LC9LD4SNFABN8XUA,Nissan,Modelo3,2020,Francia,Rojo,2018-04-29,Daño por granizo,9948.0,Leve,Capó,198983,2024-02-17,Desfavorable,Fugas leves de aceite
7NE0PBN6S3NEWA4H7,Seat,Modelo2,2020,Alemania,Azul,,,,,,132702,2021-11-10,Favorable,Sin defectos
RSP8JX6ZSPCZ3SCDP,Volkswagen,Modelo3,2022,Francia,Blanco,2024-08-21,Daño menor,4431.23,,Capó,16306,2024-10-10,Favorable,Luces dañadas
75NST69AK1L6Y6215,Volkswagen,Modelo1,2014,Japón,Rojo,2017-09-28,Accidente grave,5646.14,Grave,Motor,139503,2022-12-16,Favorable,Frenos OK
4FNSDZZ0ASUDYUMER,Kia,Modelo3,2024,España,Blanco,2023-09-10,,6386.49,Media,,17455,2020-11-26,Desfavorable,Luces dañadas
4FUE0NS39CNUNBB36,Kia,Modelo1,2016,Francia,Negro,,,,,,149027,2022-04-06,Desfavorable,Frenos OK
MBHET3U3KWU2MXFB0,Seat,Modelo3,2017,Francia,Azul,2016-08-14,Daño menor,9361.28,,Capó,141724,2022-06-02,Favorable,Sin defectos
TRFUT2B5CCDW6HPH0,Renault,Modelo3,2010,Alemania,Azul,2018-05-05,,14049.49,Media,Capó,151513,2021-06-15,Favorable,Luces dañadas
ZU6ZJ21U8PE59V4AP,Hyundai,Modelo1,2013,Francia,Rojo,2021-02-25,Daño por granizo,2061.87,Grave,Capó,69047,2023-09-22,Desfavorable,Luces dañadas
5RFNPNW6YRHACPC2A,Renault,Modelo3,2017,España,Rojo,2024-03-21,,11383.07,Grave,Laterales,194442,2021-04-01,Desfavorable,Frenos OK
3HKZXLHSZE1XKSVEH,Renault,Modelo2,2011,Italia,Gris,2020-10-25,Impacto frontal,5972.26,Grave,Laterales,157406,2021-08-02,Desfavorable,Frenos OK
EKYRWH9TYJ0PJ78Z6,Nissan,Modelo3,2015,Alemania,Blanco,,,,,,163811,2024-04-26,Desfavorable,Frenos OK
02WFSMMLMLRA3VTX1,Ford,Modelo2,2013,Alemania,Gris,2024-12-05,Accidente grave,10550.42,Media,Parachoques,11236,2022-04-21,Favorable,Luces dañadas
SCLY67S5R6ZDMR101,Fiat,Modelo2,2014,España,Blanco,,,,,,90593,2021-06-01,Desfavorable,Frenos OK
KNVD9HYA6DL7FECK3,Toyota,Modelo3,2020,Francia,Azul,,,,,,48287,2021-12-06,Favorable,Frenos OK
V5K0C7D10W7VUHVZ1,Audi,Modelo3,2018,Alemania,Rojo,,,,,,71856,2023-02-09,Favorable,Sin defectos
Z4TW0PD1GCLSAS19E,Fiat,Modelo2,2022,Italia,Gris,,,,,,49533,2021-03-26,Desfavorable,Sin defectos
1FA305PNRUJXEU72K,Renault,Modelo2,2016,Francia,Gris,,,,,,126257,2022-01-23,Desfavorable,Sin defectos
9BKYB7SN5JM0WCC7U,Volkswagen,Modelo3,2024,Japón,Blanco,2020-03-05,Accidente grave,11300.73,Media,Motor,151715,2023-04-01,Favorable,Sin defectos
AVGV5RCFW5706FL5W,Citroen,Modelo2,2010,Alemania,Rojo,2020-03-23,Daño menor,6110.03,,Parachoques,103149,2021-11-05,Favorable,Fugas leves de aceite
Z625T8EWENATN7RLB,Kia,Modelo2,2015,Francia,Blanco,2019-04-20,Impacto frontal,11439.08,Grave,Puertas,79723,2022-01-08,Desfavorable,Luces dañadas
38LBXCU1NVAU8BESS,Opel,Modelo3,2014,Alemania,Blanco,,,,,,118468,2020-12-12,Desfavorable,Sin defectos
75JMEYJYFUNLCAXZP,Mazda,Modelo3,2017,Alemania,Gris,2017-06-16,,4590.27,Media,Laterales,40040,2021-07-18,Favorable,Luces dañadas
KXM1YSHZRTEDYXDEX,Kia,Modelo2,2011,España,Azul,2020-01-22,Accidente grave,4701.8,,Motor,164024,2021-12-27,Desfavorable,Fugas leves de aceite
FLLU76D7SASBE7DEU,Peugeot,Modelo1,2011,España,Azul,2019-07-31,,8659.12,Media,Capó,158905,2024-03-08,Favorable,Fugas leves de aceite
K3CXA3STTUC2P7F4N,Honda,Modelo1,2012,Japón,Azul,2018-10-17,Daño menor,5178.91,,Motor,73357,2021-05-11,Favorable,Frenos OK
W528JKJ9TTTAHR42Z,Fiat,Modelo1,2023,Alemania,Rojo,2019-05-24,Daño menor,4450.27,,,63884,2022-04-27,Desfavorable,Sin defectos
5GLCP8GDVD4WAG4RA,BMW,Modelo1,2019,Japón,Gris,,,,,,110243,2023-07-21,Desfavorable,Frenos OK
T5LJZHGRA29KUSG8R,Opel,Modelo2,2015,España,Negro,2021-12-13,Impacto frontal,12853.98,Media,Puertas,19563,2022-06-29,Desfavorable,Frenos OK
VM9VEJBAVV7G6UWJ2,Nissan,Modelo3,2020,Alemania,Gris,2018-12-31,Accidente grave,11678.18,,Puertas,108680,2024-04-15,Desfavorable,Luces dañadas
4E833297RSC0GAPJM,Renault,Modelo1,2024,Japón,Gris,,,,,,100845,2021-12-28,Desfavorable,Fugas leves de aceite
FHH22X5N8TDJFB7TD,Renault,Modelo2,2013,Japón,Blanco,2020-08-06,Daño por granizo,2792.52,Leve,Puertas,154091,2021-12-13,Desfavorable,Sin defectos
0W739SFL505473HD5,Toyota,Modelo3,2022,Francia,Rojo,,,,,,34082,2024-01-07,Favorable,Fugas leves de aceite
XLCMP7DFGXJMAU4MS,Peugeot,Modelo1,2011,España,Gris,2021-04-13,Impacto frontal,657.77,Grave,Capó,25478,2020-12-14,Favorable,Sin defectos
EVRKBFASBV42Y96UC,Hyundai,Modelo3,2018,Japón,Blanco,2021-07-02,Accidente grave,12081.3,Media,Laterales,113410,2022-03-14,Desfavorable,Fugas leves de aceite
P3ERKFY6WAL1XHPLR,BMW,Modelo1,2021,Italia,Negro,2024-05-25,Daño por granizo,8121.68,Media,Parachoques,65127,2022-12-25,Favorable,Fugas leves de aceite
B7UUSA8AAZHCNCPPP,Ford,Modelo3,2020,Alemania,Gris,,,,,,58647,2023-07-14,Favorable,Frenos OK
EX6N8R8JV8RHR1RDM,Toyota,Modelo2,2023,Francia,Gris,2018-08-18,,10240.46,Leve,,42627,2022-02-10,Desfavorable,Frenos OK
ECZUJRJWMYC90CURB,Toyota,Modelo1,2022,Italia,Gris,2017-05-15,Accidente grave,6010.53,Leve,,40156,2021-01-15,Favorable,Fugas leves de aceite
X1XT2U7LHD0XCWV4T,Volkswagen,Modelo2,2011,Japón,Azul,2024-02-20,Impacto frontal,13094.14,,Laterales,169976,2024-06-24,Desfavorable,Sin defectos
