id,poliza_id,asegurado_id,vehiculo_id,rol
1,1,1,1,TITULAR
2,2,2,2,TITULAR
3,3,3,3,TITULAR
4,4,4,4,TITULAR
5,5,5,5,TITULAR
6,6,6,6,TITULAR
7,7,7,7,TITULAR
8,8,8,8,TITULAR
9,9,9,9,TITULAR
10,10,10,10,TITULAR
11,11,11,11,TITULAR
12,12,12,12,TITULAR
13,13,13,13,TITULAR
14,14,14,14,TITULAR
15,15,15,15,TITULAR
16,16,16,16,TITULAR
17,17,17,17,TITULAR
18,18,18,18,TITULAR
19,19,19,19,TITULAR
20,20,20,20,TITULAR
21,21,21,21,TITULAR
22,22,22,22,TITULAR
23,23,23,23,TITULAR
24,24,24,24,TITULAR
25,25,25,25,TITULAR
26,26,26,26,TITULAR
27,27,27,27,TITULAR
28,28,28,28,TITULAR
29,29,29,29,TITULAR
30,30,30,30,TITULAR
31,31,31,31,TITULAR
32,32,32,32,TITULAR
33,33,33,33,TITULAR
34,34,34,34,TITULAR
35,35,35,35,TITULAR
36,36,36,36,TITULAR
37,37,37,37,TITULAR
38,38,38,38,TITULAR
39,39,39,39,TITULAR
40,40,40,40,TITULAR
41,41,41,41,TITULAR
42,42,42,42,TITULAR
43,43,43,43,TITULAR
44,44,44,44,TITULAR
45,45,45,45,TITULAR
46,46,46,46,TITULAR
47,47,47,47,TITULAR
48,48,48,48,TITULAR
49,49,49,49,TITULAR
50,50,50,50,TITULAR
51,51,51,51,TITULAR
52,52,52,52,TITULAR
53,53,53,53,TITULAR
54,54,54,54,TITULAR
55,55,55,55,TITULAR
56,56,56,56,TITULAR
57,57,57,57,TITULAR
58,58,58,58,TITULAR
59,59,59,59,TITULAR
60,60,60,60,TITULAR
61,61,61,61,TITULAR
62,62,62,62,TITULAR
63,63,63,63,TITULAR
64,64,64,64,TITULAR
65,65,65,65,TITULAR
66,66,66,66,TITULAR
67,67,67,67,TITULAR
68,68,68,68,TITULAR
69,69,69,69,TITULAR
70,70,70,70,TITULAR
71,71,71,71,TITULAR
72,72,72,72,TITULAR
73,73,73,73,TITULAR
74,74,74,74,TITULAR
75,75,75,75,TITULAR
76,76,76,76,TITULAR
77,77,77,77,TITULAR
78,78,78,78,TITULAR
79,79,79,79,TITULAR
80,80,80,80,TITULAR
81,81,81,81,TITULAR
82,82,82,82,TITULAR
83,83,83,83,TITULAR
84,84,84,84,TITULAR
85,85,85,85,TITULAR
86,86,86,86,TITULAR
87,87,87,87,TITULAR
88,88,88,88,TITULAR
89,89,89,89,TITULAR
90,90,90,90,TITULAR
91,91,91,91,TITULAR
92,92,92,92,TITULAR
93,93,93,93,TITULAR
94,94,94,94,TITULAR
95,95,95,95,TITULAR
96,96,96,96,TITULAR
97,97,97,97,TITULAR
98,98,98,98,TITULAR
99,99,99,99,TITULAR
100,100,100,100,TITULAR
101,101,101,101,TITULAR
102,102,102,102,TITULAR
103,103,103,103,TITULAR
104,104,104,104,TITULAR
105,105,105,105,TITULAR
106,106,106,106,TITULAR
107,107,107,107,TITULAR
108,108,108,108,TITULAR
109,109,109,109,TITULAR
110,110,110,110,TITULAR
111,111,111,111,TITULAR
112,112,112,112,TITULAR
113,113,113,113,TITULAR
114,114,114,114,TITULAR
115,115,115,115,TITULAR
116,116,116,116,TITULAR
117,117,117,117,TITULAR
118,118,118,118,TITULAR
119,119,119,119,TITULAR
120,120,120,120,TITULAR
121,121,121,121,TITULAR
122,122,122,122,TITULAR
123,123,123,123,TITULAR
124,124,124,124,TITULAR
125,125,125,125,TITULAR
126,126,126,126,TITULAR
127,127,127,127,TITULAR
128,128,128,128,TITULAR
129,129,129,129,TITULAR
130,130,130,130,TITULAR
131,131,131,131,TITULAR
132,132,132,132,TITULAR
133,133,133,133,TITULAR
134,134,134,134,TITULAR
135,135,135,135,TITULAR
136,136,136,136,TITULAR
137,137,137,137,TITULAR
138,138,138,138,TITULAR
139,139,139,139,TITULAR
140,140,140,140,TITULAR
141,141,141,141,TITULAR
142,142,142,142,TITULAR
143,143,143,143,TITULAR
144,144,144,144,TITULAR
145,145,145,145,TITULAR
146,146,146,146,TITULAR
147,147,147,147,TITULAR
148,148,148,148,TITULAR
149,149,149,149,TITULAR
150,150,150,150,TITULAR
151,151,151,151,TITULAR
152,152,152,152,TITULAR
153,153,153,153,TITULAR
154,154,154,154,TITULAR
155,155,155,155,TITULAR
156,156,156,156,TITULAR
157,157,157,157,TITULAR
158,158,158,158,TITULAR
159,159,159,159,TITULAR
160,160,160,160,TITULAR
161,161,161,161,TITULAR
162,162,162,162,TITULAR
163,163,163,163,TITULAR
164,164,164,164,TITULAR
165,165,165,165,TITULAR
166,166,166,166,TITULAR
167,167,167,167,TITULAR
168,168,168,168,TITULAR
169,169,169,169,TITULAR
170,170,170,170,TITULAR
171,171,171,171,TITULAR
172,172,172,172,TITULAR
173,173,173,173,TITULAR
174,174,174,174,TITULAR
175,175,175,175,TITULAR
176,176,176,176,TITULAR
177,177,177,177,TITULAR
178,178,178,178,TITULAR
179,179,179,179,TITULAR
180,180,180,180,TITULAR
181,181,181,181,TITULAR
182,182,182,182,TITULAR
183,183,183,183,TITULAR
184,184,184,184,TITULAR
185,185,185,185,TITULAR
