id,numero_poliza,aseguradora_id,clase_poliza,estado
1,POL000001,2,TODO_RIESGO,EXPIRADA
2,POL000002,1,RC,CANCELADA
3,POL000003,1,TODO_RIESGO,VIGENTE
4,POL000004,2,TERCEROS_AMPLIADO,CANCELADA
5,POL000005,1,RC,VIGENTE
6,POL000006,1,TODO_RIESGO,VIGENTE
7,POL000007,1,RC,CANCELADA
8,POL000008,1,TERCEROS_AMPLIADO,VIGENTE
9,POL000009,1,TERCEROS_AMPLIADO,EXPIRADA
10,POL000010,1,RC,CANCELADA
11,POL000011,2,RC,VIGENTE
12,POL000012,2,TERCEROS_AMPLIADO,EXPIRADA
13,POL000013,2,TERCEROS_AMPLIADO,VIGENTE
14,POL000014,1,TERCEROS_AMPLIADO,VIGENTE
15,POL000015,2,TODO_RIESGO,VIGENTE
16,POL000016,2,TERCEROS_AMPLIADO,EXPIRADA
17,POL000017,1,RC,CANCELADA
18,POL000018,1,RC,EXPIRADA
19,POL000019,1,RC,CANCELADA
20,POL000020,1,TODO_RIESGO,EXPIRADA
21,POL000021,1,TERCEROS_AMPLIADO,CANCELADA
22,POL000022,1,TERCEROS_AMPLIADO,CANCELADA
23,POL000023,2,TODO_RIESGO,VIGENTE
24,POL000024,2,RC,VIGENTE
25,POL000025,1,RC,CANCELADA
26,POL000026,2,TERCEROS_AMPLIADO,VIGENTE
27,POL000027,2,TERCEROS_AMPLIADO,CANCELADA
28,POL000028,2,TODO_RIESGO,VIGENTE
29,POL000029,2,TERCEROS_AMPLIADO,EXPIRADA
30,POL000030,2,TERCEROS_AMPLIADO,CANCELADA
31,POL000031,1,TODO_RIESGO,CANCELADA
32,POL000032,1,RC,VIGENTE
33,POL000033,2,RC,CANCELADA
34,POL000034,1,RC,CANCELADA
35,POL000035,1,RC,EXPIRADA
36,POL000036,2,RC,CANCELADA
37,POL000037,1,TERCEROS_AMPLIADO,CANCELADA
38,POL000038,2,TERCEROS_AMPLIADO,CANCELADA
39,POL000039,2,RC,CANCELADA
40,POL000040,1,TODO_RIESGO,VIGENTE
41,POL000041,1,RC,CANCELADA
42,POL000042,1,TERCEROS_AMPLIADO,VIGENTE
43,POL000043,2,TERCEROS_AMPLIADO,CANCELADA
44,POL000044,2,TODO_RIESGO,CANCELADA
45,POL000045,2,TODO_RIESGO,VIGENTE
46,POL000046,1,RC,EXPIRADA
47,POL000047,1,RC,CANCELADA
48,POL000048,1,RC,CANCELADA
49,POL000049,2,RC,EXPIRADA
50,POL000050,2,RC,EXPIRADA
51,POL000051,1,TODO_RIESGO,VIGENTE
52,POL000052,2,TERCEROS_AMPLIADO,EXPIRADA
53,POL000053,2,TODO_RIESGO,VIGENTE
54,POL000054,2,TERCEROS_AMPLIADO,CANCELADA
55,POL000055,1,RC,VIGENTE
56,POL000056,2,TODO_RIESGO,VIGENTE
57,POL000057,2,RC,EXPIRADA
58,POL000058,1,TERCEROS_AMPLIADO,CANCELADA
59,POL000059,2,RC,CANCELADA
60,POL000060,1,TODO_RIESGO,VIGENTE
61,POL000061,2,RC,EXPIRADA
62,POL000062,1,RC,VIGENTE
63,POL000063,2,TODO_RIESGO,EXPIRADA
64,POL000064,1,RC,EXPIRADA
65,POL000065,2,RC,CANCELADA
66,POL000066,2,TERCEROS_AMPLIADO,EXPIRADA
67,POL000067,1,TERCEROS_AMPLIADO,CANCELADA
68,POL000068,1,TERCEROS_AMPLIADO,VIGENTE
69,POL000069,2,TODO_RIESGO,VIGENTE
70,POL000070,2,RC,CANCELADA
71,POL000071,1,TODO_RIESGO,VIGENTE
72,POL000072,1,RC,CANCELADA
73,POL000073,2,RC,VIGENTE
74,POL000074,2,TODO_RIESGO,CANCELADA
75,POL000075,1,TERCEROS_AMPLIADO,EXPIRADA
76,POL000076,1,TERCEROS_AMPLIADO,VIGENTE
77,POL000077,1,RC,CANCELADA
78,POL000078,1,TERCEROS_AMPLIADO,EXPIRADA
79,POL000079,2,TODO_RIESGO,EXPIRADA
80,POL000080,1,TERCEROS_AMPLIADO,VIGENTE
81,POL000081,2,TERCEROS_AMPLIADO,CANCELADA
82,POL000082,1,RC,CANCELADA
83,POL000083,2,TODO_RIESGO,CANCELADA
84,POL000084,2,TODO_RIESGO,CANCELADA
85,POL000085,2,RC,EXPIRADA
86,POL000086,1,TODO_RIESGO,CANCELADA
87,POL000087,2,TERCEROS_AMPLIADO,VIGENTE
88,POL000088,2,RC,VIGENTE
89,POL000089,1,TERCEROS_AMPLIADO,CANCELADA
90,POL000090,2,RC,EXPIRADA
91,POL000091,2,TODO_RIESGO,VIGENTE
92,POL000092,2,RC,VIGENTE
93,POL000093,1,TODO_RIESGO,VIGENTE
94,POL000094,1,TODO_RIESGO,EXPIRADA
95,POL000095,1,RC,EXPIRADA
96,POL000096,1,RC,VIGENTE
97,POL000097,1,TERCEROS_AMPLIADO,EXPIRADA
98,POL000098,2,TODO_RIESGO,CANCELADA
99,POL000099,2,RC,CANCELADA
100,POL000100,2,TERCEROS_AMPLIADO,EXPIRADA
101,POL000101,2,TERCEROS_AMPLIADO,EXPIRADA
102,POL000102,2,TERCEROS_AMPLIADO,EXPIRADA
103,POL000103,2,TERCEROS_AMPLIADO,VIGENTE
104,POL000104,2,TERCEROS_AMPLIADO,EXPIRADA
105,POL000105,2,TERCEROS_AMPLIADO,VIGENTE
106,POL000106,1,RC,VIGENTE
107,POL000107,2,RC,VIGENTE
108,POL000108,1,RC,VIGENTE
109,POL000109,2,TERCEROS_AMPLIADO,VIGENTE
110,POL000110,2,TERCEROS_AMPLIADO,VIGENTE
111,POL000111,1,TODO_RIESGO,CANCELADA
112,POL000112,2,TERCEROS_AMPLIADO,EXPIRADA
113,POL000113,2,RC,VIGENTE
114,POL000114,2,RC,EXPIRADA
115,POL000115,2,RC,CANCELADA
116,POL000116,2,RC,EXPIRADA
117,POL000117,1,TODO_RIESGO,EXPIRADA
118,POL000118,1,TODO_RIESGO,VIGENTE
119,POL000119,1,RC,EXPIRADA
120,POL000120,1,TODO_RIESGO,VIGENTE
121,POL000121,2,RC,EXPIRADA
122,POL000122,1,RC,CANCELADA
123,POL000123,2,TERCEROS_AMPLIADO,CANCELADA
124,POL000124,1,TODO_RIESGO,CANCELADA
125,POL000125,2,TERCEROS_AMPLIADO,EXPIRADA
126,POL000126,2,TERCEROS_AMPLIADO,VIGENTE
127,POL000127,1,TERCEROS_AMPLIADO,EXPIRADA
128,POL000128,1,TERCEROS_AMPLIADO,CANCELADA
129,POL000129,1,RC,EXPIRADA
130,POL000130,2,TODO_RIESGO,EXPIRADA
131,POL000131,1,RC,VIGENTE
132,POL000132,2,RC,VIGENTE
133,POL000133,1,TODO_RIESGO,CANCELADA
134,POL000134,2,TODO_RIESGO,VIGENTE
135,POL000135,1,TERCEROS_AMPLIADO,EXPIRADA
136,POL000136,1,TERCEROS_AMPLIADO,CANCELADA
137,POL000137,1,RC,VIGENTE
138,POL000138,2,RC,EXPIRADA
139,POL000139,1,TERCEROS_AMPLIADO,CANCELADA
140,POL000140,2,TODO_RIESGO,CANCELADA
141,POL000141,2,RC,VIGENTE
142,POL000142,1,TODO_RIESGO,VIGENTE
143,POL000143,2,TERCEROS_AMPLIADO,CANCELADA
144,POL000144,2,TERCEROS_AMPLIADO,CANCELADA
145,POL000145,2,TERCEROS_AMPLIADO,VIGENTE
146,POL000146,1,RC,CANCELADA
147,POL000147,1,TERCEROS_AMPLIADO,VIGENTE
148,POL000148,1,TERCEROS_AMPLIADO,EXPIRADA
149,POL000149,2,TERCEROS_AMPLIADO,EXPIRADA
150,POL000150,1,RC,VIGENTE
151,POL000151,2,RC,CANCELADA
152,POL000152,2,TERCEROS_AMPLIADO,EXPIRADA
153,POL000153,2,TERCEROS_AMPLIADO,CANCELADA
154,POL000154,2,TERCEROS_AMPLIADO,EXPIRADA
155,POL000155,1,RC,CANCELADA
156,POL000156,1,TODO_RIESGO,EXPIRADA
157,POL000157,2,TERCEROS_AMPLIADO,EXPIRADA
158,POL000158,1,TODO_RIESGO,CANCELADA
159,POL000159,2,TODO_RIESGO,EXPIRADA
160,POL000160,1,RC,EXPIRADA
161,POL000161,1,RC,CANCELADA
162,POL000162,1,RC,EXPIRADA
163,POL000163,2,TODO_RIESGO,CANCELADA
164,POL000164,2,TODO_RIESGO,CANCELADA
165,POL000165,1,TERCEROS_AMPLIADO,VIGENTE
166,POL000166,1,TERCEROS_AMPLIADO,CANCELADA
167,POL000167,1,TODO_RIESGO,CANCELADA
168,POL000168,2,TODO_RIESGO,CANCELADA
169,POL000169,1,RC,VIGENTE
170,POL000170,2,TERCEROS_AMPLIADO,EXPIRADA
171,POL000171,2,RC,CANCELADA
172,POL000172,2,TERCEROS_AMPLIADO,CANCELADA
173,POL000173,2,TODO_RIESGO,CANCELADA
174,POL000174,2,TODO_RIESGO,CANCELADA
175,POL000175,1,RC,CANCELADA
176,POL000176,2,TERCEROS_AMPLIADO,CANCELADA
177,POL000177,2,TODO_RIESGO,VIGENTE
178,POL000178,2,TODO_RIESGO,VIGENTE
179,POL000179,2,TODO_RIESGO,VIGENTE
180,POL000180,1,TODO_RIESGO,VIGENTE
181,POL000181,1,TERCEROS_AMPLIADO,EXPIRADA
182,POL000182,1,TODO_RIESGO,VIGENTE
183,POL000183,2,TODO_RIESGO,VIGENTE
184,POL000184,1,TERCEROS_AMPLIADO,VIGENTE
185,POL000185,1,RC,EXPIRADA
186,POL000186,2,TERCEROS_AMPLIADO,EXPIRADA
187,POL000187,2,TERCEROS_AMPLIADO,CANCELADA
188,POL000188,2,TERCEROS_AMPLIADO,EXPIRADA
189,POL000189,2,TODO_RIESGO,CANCELADA
190,POL000190,2,RC,CANCELADA
191,POL000191,1,TODO_RIESGO,EXPIRADA
192,POL000192,2,TODO_RIESGO,CANCELADA
193,POL000193,2,TODO_RIESGO,VIGENTE
194,POL000194,1,TODO_RIESGO,EXPIRADA
195,POL000195,2,TERCEROS_AMPLIADO,EXPIRADA
196,POL000196,1,RC,VIGENTE
197,POL000197,1,RC,EXPIRADA
198,POL000198,2,TERCEROS_AMPLIADO,CANCELADA
199,POL000199,1,RC,CANCELADA
200,POL000200,1,TODO_RIESGO,CANCELADA
201,POL000201,2,RC,VIGENTE
202,POL000202,1,TODO_RIESGO,EXPIRADA
203,POL000203,2,RC,VIGENTE
204,POL000204,2,TERCEROS_AMPLIADO,VIGENTE
205,POL000205,2,TODO_RIESGO,CANCELADA
206,POL000206,1,TODO_RIESGO,EXPIRADA
207,POL000207,1,TERCEROS_AMPLIADO,VIGENTE
208,POL000208,1,RC,EXPIRADA
209,POL000209,1,TODO_RIESGO,VIGENTE
210,POL000210,2,TERCEROS_AMPLIADO,CANCELADA
211,POL000211,1,TERCEROS_AMPLIADO,EXPIRADA
212,POL000212,2,TODO_RIESGO,EXPIRADA
213,POL000213,2,TERCEROS_AMPLIADO,CANCELADA
214,POL000214,2,TODO_RIESGO,CANCELADA
215,POL000215,1,RC,EXPIRADA
216,POL000216,1,RC,VIGENTE
217,POL000217,2,RC,VIGENTE
218,POL000218,1,TODO_RIESGO,VIGENTE
219,POL000219,1,TERCEROS_AMPLIADO,CANCELADA
220,POL000220,2,TODO_RIESGO,EXPIRADA
221,POL000221,1,RC,EXPIRADA
222,POL000222,2,TERCEROS_AMPLIADO,VIGENTE
223,POL000223,2,TERCEROS_AMPLIADO,VIGENTE
224,POL000224,1,TODO_RIESGO,EXPIRADA
225,POL000225,1,TODO_RIESGO,CANCELADA
226,POL000226,2,TERCEROS_AMPLIADO,VIGENTE
227,POL000227,1,TODO_RIESGO,CANCELADA
228,POL000228,1,RC,VIGENTE
229,POL000229,2,RC,VIGENTE
230,POL000230,1,TODO_RIESGO,VIGENTE
231,POL000231,2,TODO_RIESGO,EXPIRADA
232,POL000232,2,TERCEROS_AMPLIADO,EXPIRADA
233,POL000233,1,TODO_RIESGO,EXPIRADA
234,POL000234,2,TERCEROS_AMPLIADO,EXPIRADA
235,POL000235,2,RC,VIGENTE
236,POL000236,2,TERCEROS_AMPLIADO,VIGENTE
237,POL000237,1,TERCEROS_AMPLIADO,CANCELADA
238,POL000238,1,TODO_RIESGO,EXPIRADA
239,POL000239,1,TERCEROS_AMPLIADO,EXPIRADA
240,POL000240,2,RC,VIGENTE
241,POL000241,1,TERCEROS_AMPLIADO,VIGENTE
242,POL000242,2,TODO_RIESGO,EXPIRADA
243,POL000243,1,TODO_RIESGO,VIGENTE
244,POL000244,1,RC,CANCELADA
245,POL000245,2,TODO_RIESGO,CANCELADA
246,POL000246,2,TERCEROS_AMPLIADO,VIGENTE
247,POL000247,1,TODO_RIESGO,CANCELADA
248,POL000248,2,TODO_RIESGO,EXPIRADA
249,POL000249,1,TODO_RIESGO,VIGENTE
250,POL000250,1,TODO_RIESGO,EXPIRADA
251,POL000251,1,TODO_RIESGO,EXPIRADA
252,POL000252,1,TERCEROS_AMPLIADO,VIGENTE
253,POL000253,2,TERCEROS_AMPLIADO,EXPIRADA
254,POL000254,1,RC,VIGENTE
255,POL000255,1,RC,EXPIRADA
256,POL000256,2,TODO_RIESGO,CANCELADA
257,POL000257,2,TERCEROS_AMPLIADO,EXPIRADA
258,POL000258,1,TODO_RIESGO,VIGENTE
259,POL000259,1,TERCEROS_AMPLIADO,EXPIRADA
260,POL000260,1,RC,CANCELADA
261,POL000261,2,TODO_RIESGO,VIGENTE
262,POL000262,2,TODO_RIESGO,EXPIRADA
263,POL000263,2,RC,VIGENTE
264,POL000264,1,TERCEROS_AMPLIADO,EXPIRADA
265,POL000265,2,TERCEROS_AMPLIADO,CANCELADA
266,POL000266,2,RC,EXPIRADA
267,POL000267,1,TERCEROS_AMPLIADO,EXPIRADA
