id,referencia,poliza_id,vehiculo_id,asegurado_id,fecha_siniestro,lugar,responsable,importe_estimada,estado
1,SIN000001,368,676,237,2024-03-18,Alicante,False,2033.59,EN_TRAMITE
2,SIN000002,121,851,43,2022-06-17,Barcelona,False,3899.04,EN_TRAMITE
3,SIN000003,212,675,667,2023-05-07,Madrid,False,2576.6,CERRADA
4,SIN000004,532,517,911,2023-04-12,Barcelona,True,3830.29,CERRADA
5,SIN000005,174,189,900,2023-12-03,Bilbao,True,2693.07,ABIERTA
6,SIN000006,5,362,143,2023-06-18,Madrid,False,1973.56,ABIERTA
7,SIN000007,451,216,762,2022-04-27,Málaga,False,3015.35,CERRADA
8,SIN000008,685,438,731,2022-06-15,Málaga,True,3098.68,EN_TRAMITE
9,SIN000009,923,329,268,2022-06-30,Alicante,False,939.0,EN_TRAMITE
10,SIN000010,988,503,630,2023-02-28,Madrid,False,2974.11,ABIERTA
11,SIN000011,398,360,329,2023-02-11,Valencia,True,3755.25,EN_TRAMITE
12,SIN000012,432,804,609,2020-09-08,Alicante,False,643.08,ABIERTA
13,SIN000013,895,113,222,2020-06-22,Valencia,False,4733.51,CERRADA
14,SIN000014,778,570,526,2023-06-22,Barcelona,True,3937.77,CERRADA
15,SIN000015,723,198,854,2024-08-05,Zaragoza,False,3020.95,EN_TRAMITE
16,SIN000016,301,19,588,2024-04-22,Palma,True,1912.95,EN_TRAMITE
17,SIN000017,916,385,651,2020-05-23,Valencia,False,3482.98,EN_TRAMITE
18,SIN000018,253,331,319,2024-04-08,Bilbao,False,4569.59,CERRADA
19,SIN000019,322,525,998,2022-12-09,Sevilla,True,521.71,ABIERTA
20,SIN000020,211,69,508,2023-02-06,Valencia,True,1435.1,CERRADA
21,SIN000021,991,275,844,2024-05-14,Madrid,True,3582.03,CERRADA
22,SIN000022,490,301,47,2024-03-06,Madrid,False,1832.99,ABIERTA
23,SIN000023,31,754,710,2021-12-08,Málaga,True,4741.11,EN_TRAMITE
24,SIN000024,210,962,250,2023-09-12,Madrid,True,1994.02,ABIERTA
25,SIN000025,285,423,669,2020-09-04,Valencia,False,2427.76,EN_TRAMITE
26,SIN000026,709,687,126,2022-03-10,Zaragoza,True,3474.64,CERRADA
27,SIN000027,380,362,36,2023-02-06,Sevilla,True,1504.73,ABIERTA
28,SIN000028,2,436,140,2021-05-13,Barcelona,False,2907.65,EN_TRAMITE
29,SIN000029,524,251,799,2024-05-12,Sevilla,True,700.29,CERRADA
30,SIN000030,47,833,147,2023-02-06,Málaga,False,2884.59,CERRADA
31,SIN000031,974,748,256,2021-11-09,Palma,False,3096.04,EN_TRAMITE
32,SIN000032,966,457,254,2023-02-23,Sevilla,True,4779.04,ABIERTA
33,SIN000033,537,182,935,2022-06-08,Málaga,False,1312.43,EN_TRAMITE
