id,matricula,marca,modelo,anio_small
1,2435RRB,Kia,Modelo,2015
2,2959FMD,Honda,Modelo,2022
3,5617TJP,Volkswagen,Golf,2024
4,8910ZKS,Fiat,Modelo,2012
5,4948TWR,Citroen,Modelo,2010
6,5585TBW,Peugeot,Modelo,2014
7,5131ZDW,Seat,Ibiza,2016
8,6867KXM,Kia,Modelo,2014
9,8521WWD,Fiat,Modelo,2018
10,6773GGX,Audi,Modelo,2022
11,9070KWP,Peugeot,Modelo,2016
12,9588GJN,Kia,Modelo,2013
13,3979KPL,Hyundai,Modelo,2013
14,4498NVX,Nissan,Modelo,2012
15,8997WDY,Peugeot,Modelo,2021
16,8414TNY,Peugeot,Modelo,2016
17,3075DPK,Nissan,Modelo,2014
18,1704MTP,Ford,Focus,2018
19,6977GYL,Kia,Modelo,2012
20,1143PCN,Hyundai,Modelo,2010
21,7905LFL,Toyota,Corolla,2015
22,9871GMY,Peugeot,Modelo,2016
23,3617VWT,Honda,Modelo,2017
24,7277LHP,BMW,Modelo,2012
25,5045PCP,Nissan,Modelo,2020
26,1975SWF,Fiat,Modelo,2011
27,7785JBH,Audi,Modelo,2017
28,6287KTB,Peugeot,Modelo,2010
29,2036GSM,Kia,Modelo,2019
30,8184MDS,Opel,Modelo,2013
31,3401PZS,Peugeot,Modelo,2018
32,7411TBH,BMW,Modelo,2022
33,2793TGR,Opel,Modelo,2014
34,3593RJT,BMW,Modelo,2011
35,3672LYM,Peugeot,Modelo,2017
36,4791VDD,Kia,Modelo,2017
37,5813PDG,Honda,Modelo,2021
38,1071CZK,Honda,Modelo,2021
39,6742XZL,Fiat,Modelo,2011
40,6633VSZ,Citroen,Modelo,2011
41,4467SBT,Fiat,Modelo,2018
42,8574VNZ,Opel,Modelo,2012
43,9182HSH,Seat,Leon,2015
44,9685VFC,Toyota,C-HR,2021
45,6285HVD,Kia,Modelo,2012
46,3152RTP,Opel,Modelo,2023
47,2509FHZ,Ford,Kuga,2015
48,8482JHF,Fiat,Modelo,2019
49,8958NPY,Audi,Modelo,2015
50,4910JGD,Hyundai,Modelo,2019
51,4727JGJ,Kia,Modelo,2013
52,7415VBZ,BMW,Modelo,2013
53,6007ZPL,Seat,Arona,2015
54,6067KKZ,Audi,Modelo,2019
55,7740BGL,Peugeot,Modelo,2014
56,7040NKG,Volkswagen,Polo,2014
57,6233RMW,Seat,Arona,2018
58,2976GTR,Opel,Modelo,2017
59,1015DWM,Seat,Ibiza,2012
60,2188GDY,Volkswagen,Golf,2021
61,8728KLZ,Toyota,Yaris,2016
62,2869MJX,Fiat,Modelo,2016
63,2321MDF,Ford,Fiesta,2014
64,6852PWN,Renault,Megane,2011
65,1140MJM,Citroen,Modelo,2014
66,1258VLY,Toyota,RAV4,2016
67,8995YBK,Hyundai,Modelo,2023
68,3854JSV,Peugeot,Modelo,2022
69,3276CKR,Citroen,Modelo,2012
70,1042WFZ,Hyundai,Modelo,2023
71,6318YHW,Honda,Modelo,2020
72,5924GJG,Opel,Modelo,2022
73,6265CTY,Toyota,C-HR,2016
74,9532HKD,Honda,Modelo,2011
75,9460BCM,Opel,Modelo,2022
76,8202XJB,Hyundai,Modelo,2013
77,1842RWS,Renault,Scenic,2016
78,5464FFB,Toyota,RAV4,2015
79,8028PKB,Ford,Kuga,2022
80,6375RGG,Citroen,Modelo,2017
81,2970WHN,Kia,Modelo,2016
82,7546JZW,Kia,Modelo,2024
